2022-05-13 09:29:03.923 [main] INFO  com.guo.eduservice.ServiceEduApplication - Starting ServiceEduApplication on PC201510181117 with PID 4460 (D:\temporay\Project\guli_parent\service\service-edu\target\classes started by zhao_temporary in D:\temporay\Project\guli_parent)
2022-05-13 09:29:03.928 [main] INFO  com.guo.eduservice.ServiceEduApplication - The following profiles are active: dev
2022-05-13 09:29:06.048 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-13 09:29:06.052 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-13 09:29:06.113 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32ms. Found 0 Redis repository interfaces.
2022-05-13 09:29:07.159 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2022-05-13 09:29:07.268 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2022-05-13 09:29:07.269 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-13 09:29:07.270 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2022-05-13 09:29:07.417 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-13 09:29:07.418 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3385 ms
2022-05-13 09:29:07.812 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-05-13 09:29:08.240 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-05-13 09:29:09.287 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-13 09:29:09.491 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-05-13 09:29:10.535 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
