2022-05-11 12:22:05.602 [main] INFO  com.guo.eduservice.ServiceEduApplication - Starting ServiceEduApplication on PC201510181117 with PID 4196 (D:\temporay\Project\guli_parent\service\service-edu\target\classes started by zhao_temporary in D:\temporay\Project\guli_parent)
2022-05-11 12:22:05.627 [main] INFO  com.guo.eduservice.ServiceEduApplication - The following profiles are active: dev
2022-05-11 12:22:08.030 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-11 12:22:08.034 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-11 12:22:08.141 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42ms. Found 0 Redis repository interfaces.
2022-05-11 12:22:09.574 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2022-05-11 12:22:09.589 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2022-05-11 12:22:09.590 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-11 12:22:09.590 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2022-05-11 12:22:09.738 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-11 12:22:09.739 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4012 ms
2022-05-11 12:22:10.194 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-05-11 12:22:13.394 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-05-11 12:22:13.406 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-05-11 12:24:38.763 [main] INFO  com.guo.eduservice.ServiceEduApplication - Starting ServiceEduApplication on PC201510181117 with PID 5152 (D:\temporay\Project\guli_parent\service\service-edu\target\classes started by zhao_temporary in D:\temporay\Project\guli_parent)
2022-05-11 12:24:38.768 [main] INFO  com.guo.eduservice.ServiceEduApplication - The following profiles are active: dev
2022-05-11 12:24:40.310 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-11 12:24:40.314 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-11 12:24:40.373 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25ms. Found 0 Redis repository interfaces.
2022-05-11 12:24:41.323 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2022-05-11 12:24:41.335 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2022-05-11 12:24:41.336 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-11 12:24:41.337 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2022-05-11 12:24:41.473 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-11 12:24:41.474 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2600 ms
2022-05-11 12:24:41.792 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
